

##湖南电信ID-A地区  尾数是 9000

IPTV 4K ,rtp://239.76.252.35:9000
Bestv4K ,rtp://239.76.254.3:9000
Bestv4K ,rtp://239.76.247.3:1234
CCTV16  ,rtp://239.76.254.200:9000
CCTV16,rtp://239.76.253.230:9000
CCTV1高清,rtp://239.76.253.151:9000
CCTV1高清,rtp://239.76.251.87:9000
CCTV2高清,rtp://239.76.253.152:9000
CCTV3高清,rtp://239.76.253.153:9000
CCTV4高清,rtp://239.76.253.154:9000
CCTV5高清,rtp://239.76.253.155:9000
CCTV5+高清,rtp://239.76.253.168:9000
CCTV5+高清,rtp://239.76.251.88:9000
CCTV6高清,rtp://239.76.253.156:9000
CCTV7高清,rtp://239.76.253.157:9000
CCTV8高清,rtp://239.76.253.158:9000
CCTV9高清,rtp://239.76.253.159:9000
CCTV10高清,rtp://239.76.253.160:9000
CCTV11高清,rtp://239.76.252.251:9000
CCTV12高清,rtp://239.76.253.162:9000
CCTV13高清,rtp://239.76.253.93:9000
CCTV13高清,rtp://239.76.251.84:9000
CCTV14高清,rtp://239.76.253.164:9000
CCTV15高清,rtp://239.76.252.252:9000
CCTV16高清,rtp://239.76.253.98:9000
CCTV17高清,rtp://239.76.252.238:9000
CETV-1高清,rtp://239.76.252.192:9000
CETV-2,rtp://239.76.252.253:9000
CETV-4高清,rtp://239.76.252.254:9000
兵器科技高清,rtp://239.76.254.59:9000
第一剧场高清,rtp://239.76.254.49:9000
风云剧场高清,rtp://239.76.254.50:9000
风云音乐高清,rtp://239.76.254.51:9000
风云足球高清,rtp://239.76.254.52:9000
高尔夫·网球高清,rtp://239.76.254.62:9000
怀旧剧场高清,rtp://239.76.254.53:9000
女性时尚高清,rtp://239.76.254.55:9000
世界地理高清,rtp://239.76.254.57:9000
央视台球高清,rtp://239.76.254.58:9000
央视文化精品高清,rtp://239.76.254.56:9000
早期教育高清,rtp://239.76.254.202:9000
CCTV4欧洲高清,rtp://239.76.253.95:9000
CCTV4美洲高清,rtp://239.76.253.96:9000
CGTN高清,rtp://239.76.252.66:9000
CGTN纪录高清,rtp://239.76.252.67:9000
CGTN西班牙语高清,rtp://239.76.253.88:9000
CGTN阿拉伯语高清,rtp://239.76.253.97:9000
CGTN法语高清,rtp://239.76.253.87:9000
CGTN俄语高清,rtp://239.76.253.86:9000
CHC家庭影院高清,rtp://239.76.252.241:9000
CHC高清电影,rtp://239.76.252.242:9000
CHC动作电影高清,rtp://239.76.252.243:9000
安徽卫视高清,rtp://239.76.252.196:9000
北京卫视高清,rtp://239.76.253.184:9000
东方卫视高清,rtp://239.76.253.186:9000
东南卫视高清,rtp://239.76.252.190:9000
甘肃卫视高清,rtp://239.76.253.94:9000
广东卫视高清,rtp://239.76.252.189:9000
广西卫视高清,rtp://239.76.254.54:9000
贵州卫视高清,rtp://239.76.252.198:9000
海南卫视高清,rtp://239.76.253.203:9000
河北卫视高清,rtp://239.76.252.199:9000
河南卫视高清,rtp://239.76.253.202:9000
黑龙江卫视高清,rtp://239.76.253.200:9000
湖北卫视高清,rtp://239.76.253.193:9000
湖南卫视超清  ,rtp://239.76.253.100:9000
湖南卫视高清,rtp://239.76.251.85:9000
湖南卫视高清,rtp://239.76.253.101:9000
吉林卫视高清,rtp://239.76.253.201:9000
江苏卫视高清,rtp://239.76.251.89:9000
江苏卫视高清,rtp://239.76.253.181:9000
江西卫视高清,rtp://239.76.252.225:9000
卡酷少儿高清,rtp://239.76.254.81:9000
辽宁卫视高清,rtp://239.76.252.197:9000
青海卫视高清,rtp://239.76.254.132:9000
三沙卫视高清,rtp://239.76.253.74:9000
山东卫视高清,rtp://239.76.253.195:9000
陕西卫视高清,rtp://239.76.254.76:9000
深圳卫视高清,rtp://239.76.253.188:9000
四川卫视高清,rtp://239.76.253.91:9000
天津卫视高清,rtp://239.76.251.92:9000
天津卫视高清,rtp://239.76.253.185:9000
云南卫视高清,rtp://239.76.254.60:9000
浙江卫视高清,rtp://239.76.253.182:9000
重庆卫视高清,rtp://239.76.253.92:9000
金鹰纪实高清,rtp://239.76.253.110:9000
金鹰卡通高清,rtp://239.76.253.107:9000
金鹰纪实高清 12M,rtp://239.76.252.122:9000
金鹰卡通高清 12M,rtp://239.76.252.120:9000
凤凰中文高清,rtp://239.76.253.134:9000
凤凰资讯高清,rtp://239.76.253.135:9000
凤凰中文高清,rtp://239.76.246.8:1234
湖南国际高清,rtp://239.76.253.102:9000
湖南国际高清,rtp://239.76.252.240:9000
湖南教育高清,rtp://239.76.252.233:9000
湖南经视高清,rtp://239.76.253.103:9000
湖南经视高清,rtp://239.76.251.86:9000
湖南都市高清,rtp://239.76.253.104:9000
湖南都市 ,rtp://239.76.253.224:9000
湖南电视剧高清,rtp://239.76.253.108:9000
潇湘电影高清,rtp://239.76.253.106:9000
湖南爱晚高清,rtp://239.76.253.109:9000
湖南娱乐高清,rtp://239.76.253.105:9000
湖南卫视高清 12M,rtp://239.76.252.115:9000
湖南经视高清 12M,rtp://239.76.252.116:9000
湖南都市高清 12M,rtp://239.76.252.117:9000
湖南电视剧高清 12M,rtp://239.76.252.118:9000
