CCTV-1,rtp://239.61.3.61:9884
CCTV1,rtp://239.61.3.60:9878
CCTV-2,rtp://239.61.2.174:9032
CCTV-3,rtp://239.61.3.34:9722
CCTV-4,rtp://239.61.2.206:9224
CCTV-5,rtp://239.61.3.35:9728
CCTV-5+,rtp://239.61.2.171:9014
CCTV-6,rtp://239.61.3.36:9734
CCTV-7,rtp://239.61.2.175:9038
CCTV-8,rtp://239.61.3.37:9740
CCTV-9,rtp://239.61.2.172:9020
CCTV-10,rtp://239.61.2.176:9044
CCTV-11,rtp://239.61.2.21:8120
CCTV-12,rtp://239.61.2.177:9050
CCTV-13,rtp://239.61.2.23:8132
CCTV-14,rtp://239.61.2.178:9056
CCTV-15,rtp://239.61.2.25:8144
CCTV-17,rtp://239.61.3.9:9572
中国教育-1,rtp://239.61.2.167:8990
中国教育-4,rtp://239.61.3.15:9608

CHC动作电影,rtp://239.61.3.16:9616
凤凰卫视中文台,rtp://239.61.2.184:9092
凤凰卫视资讯台,rtp://239.61.2.183:9086
安徽卫视,rtp://239.61.2.248:9476
北京卫视,rtp://239.61.2.32:8186
东方卫视,rtp://239.61.2.28:8162
东南卫视,rtp://239.61.2.132:8708
甘肃卫视,rtp://239.61.2.225:9338
广东卫视,rtp://239.61.2.33:8192
广西卫视,rtp://239.61.2.48:8282
贵州卫视,rtp://239.61.2.159:8942
海南卫视,rtp://239.61.2.42:8246
海峡卫视,rtp://239.61.2.151:8894
河北卫视,rtp://239.61.2.57:8336
河南卫视,rtp://239.61.2.59:8348
黑龙江卫视,rtp://239.61.2.34:8198
湖北卫视,rtp://239.61.2.120:8714
湖南卫视,rtp://239.61.2.31:8180
吉林卫视,rtp://239.61.2.223:9326
江苏卫视,rtp://239.61.2.30:8174
江西卫视,rtp://239.61.2.182:9080
辽宁卫视,rtp://239.61.2.181:9074
青海卫视,rtp://239.61.2.60:8354
三沙卫视,rtp://239.61.3.10:9578
山东卫视,rtp://239.61.2.119:8708
深圳卫视,rtp://239.61.3.46:9794
四川卫视,rtp://239.61.2.251:9494
天津卫视,rtp://239.61.2.180:9068
云南卫视,rtp://239.61.2.61:8360
浙江卫视,rtp://239.61.2.29:8168
重庆卫视,rtp://239.61.2.250:9488
金色学堂,rtp://239.61.2.78:8462
金鹰纪实,rtp://239.61.3.7:9560
纪实人文,rtp://239.61.2.165:8978
文物宝库,rtp://239.61.3.21:9646
武术世界,rtp://239.61.3.22:9652
乐游,rtp://239.61.2.147:8870

欢笑剧场,rtp://239.61.2.146:8864
都市剧场,rtp://239.61.2.149:8882
动漫秀场,rtp://239.61.2.148:8876
东方财经,rtp://239.61.2.76:8450
快乐垂钓,rtp://239.61.3.8:9566
生活时尚,rtp://239.61.2.141:8834
梨园频道,rtp://239.61.3.19:9634
福建综合,rtp://239.61.2.1:8000
福建公共频道,rtp://239.61.2.3:8012
福建新闻,rtp://239.61.2.4:8018
福建电视剧,rtp://239.61.2.5:8024
福建旅游,rtp://239.61.2.6:8030
福建经济生活,rtp://239.61.2.7:8036
福建体育,rtp://239.61.2.160:8948
福建少儿,rtp://239.61.2.9:8048
福建教育频道,rtp://239.61.2.173:9026
厦门1套,rtp://239.61.3.55:9848
厦门2套,rtp://239.61.3.56:9854
