CCTV1高清,rtp://235.254.198.51:1480
CCTV2高清,rtp://235.254.198.52:1484
CCTV3高清,rtp://235.254.198.53:1488
CCTV4高清,rtp://235.254.198.183:7980
CCTV5高清,rtp://235.254.198.54:1492
CCTV5+高清,rtp://235.254.198.122:1764
CCTV6高清,rtp://235.254.198.55:1496
CCTV7高清,rtp://235.254.198.56:1500
CCTV8高清,rtp://235.254.198.57:1504
CCTV9高清,rtp://235.254.198.58:1508
CCTV10高清,rtp://235.254.198.59:1512
CCTV12高清,rtp://235.254.198.60:1516
CCTV少儿高清,rtp://235.254.198.61:1520



重庆卫视,rtp://235.254.196.249:1268
江苏卫视超高清,rtp://235.254.198.64:1532
浙江卫视超高清,rtp://235.254.198.63:1528
东方卫视超高清,rtp://235.254.198.73:1568
深圳卫视高清,rtp://235.254.198.71:1560
北京卫视超高清,rtp://235.254.198.66:1540
山东卫视高清,rtp://235.254.198.69:1552
天津卫视超高清,rtp://235.254.198.67:1544
贵州卫视超高清,rtp://235.254.198.185:7980
四川卫视超高清,rtp://235.254.198.175:7980
黑龙江卫视超高清,rtp://235.254.198.70:1556
安徽卫视超高清,rtp://235.254.198.65:1536
湖北卫视高清,rtp://235.254.198.72:1564
东南卫视超高清,rtp://235.254.198.129:7980
辽宁卫视高清,rtp://235.254.198.68:1548
内蒙古卫视,rtp://235.254.198.42:1444
湖南卫视超高清,rtp://235.254.198.62:1524
广东卫视高清,rtp://235.254.196.204:1088
河北卫视高清,rtp://235.254.198.184:7980
纪实高清,rtp://235.254.198.121:1760

精彩导视,rtp://235.254.196.101:1162
睛彩重庆,rtp://235.254.196.218:1146
CQTV新闻超高清,rtp://235.254.196.199:7980
CQTV影视,rtp://235.254.198.180:7980
CQTV都市,rtp://235.254.198.181:7980
CQTV时尚,rtp://235.254.198.182:7980
CQTV娱乐,rtp://235.254.198.187:7980
CQTV公共农村,rtp://235.254.198.186:7980
CQTV少儿,rtp://235.254.196.214:1128
CQTV科教,rtp://235.254.196.215:1132
CQTV汽摩,rtp://235.254.196.221:1156

IPTV谍战剧场,rtp://235.254.198.117:1744
IPTV相声小品,rtp://235.254.198.118:1748
IPTV野外,rtp://235.254.198.119:1752
IPTV法治,rtp://235.254.198.120:1756
热播剧场,rtp://235.254.198.113:1728
经典电影,rtp://235.254.198.114:1732
城市剧场,rtp://235.254.198.74:1572
军旅剧场,rtp://235.254.198.75:1576
古装剧场,rtp://235.254.198.76:1580
音乐现场,rtp://235.254.198.77:1584
地理,rtp://235.254.198.78:1588
美妆,rtp://235.254.198.79:1592
美人,rtp://235.254.198.80:1596
精选,rtp://235.254.198.81:1600
解密,rtp://235.254.198.82:1604
军事,rtp://235.254.198.83:1608
国学,rtp://235.254.198.84:1612
光影,rtp://235.254.198.91:1640
高网,rtp://235.254.198.95:1656

