

陕西电信2+
CCTV1,rtp://239.112.205.59:5140
CCTV2,rtp://239.112.205.78:5140
CCTV3,rtp://239.112.205.221:5140
CCTV4,rtp://239.112.205.202:5140
CCTV5,rtp://239.112.205.222:5140
CCTV5+,rtp://239.111.205.13:5140
CCTV6,rtp://239.112.205.223:5140
CCTV7,rtp://239.112.205.83:5140
CCTV8,rtp://239.112.205.224:5140
CCTV9,rtp://239.112.205.85:5140
CCTV10,rtp://239.112.205.86:5140
CCTV11,rtp://239.112.205.213:5140
CCTV12,rtp://239.112.205.88:5140
CCTV14,rtp://239.112.205.91:5140
CCTV15,rtp://239.112.205.214:5140
CCTV16,rtp://239.111.205.134:5140
CCTV17,rtp://239.112.205.211:5140
